date_summary,opening,closing,lowest,highest,volume,quantity,amount,avg_price
2013-10-06,298.00000000,300.99000000,298.00000000,300.99000000,1450.43398360,4.85761980,8,298.58944160
2013-10-07,300.99000000,300.00000000,296.00000000,328.00000000,19116.25004267,63.21155209,63,302.41703313
2013-10-08,308.50000000,305.00000000,299.64999999,311.41000000,19056.51752986,62.03275285,64,307.20090040
2013-10-09,305.00000000,310.00000000,303.00000000,315.99000000,19433.44878747,62.91226756,63,308.89760520
2013-10-10,308.00000000,307.10000000,305.00000000,315.98899000,15011.43133419,48.05553785,52,312.37672089
2013-10-11,313.32000000,311.74000000,308.00000000,314.99899000,6055.70685252,19.43028966,32,311.66323088
2013-10-12,311.74000000,307.00000000,307.00000000,312.95000000,4584.00095675,14.80624302,27,309.59919748
2013-10-13,307.10000000,312.75000000,306.02000000,312.95000000,22129.93239208,70.87192980,23,312.25243131
2013-10-14,312.75000000,331.00000000,297.00000000,342.00000000,21150.79818007,65.93633903,121,320.77604683
2013-10-15,321.38820000,345.00000000,321.38820000,359.00000000,18696.24259297,54.62538809,111,342.26287897
2013-10-16,354.99960000,339.03210000,335.00000000,358.90000000,23591.40657644,69.62279450,133,338.84601653
2013-10-17,337.72140000,349.00000000,337.72140000,349.00000000,10677.53509506,30.80212670,46,346.64928169
2013-10-18,349.00000000,360.00000000,340.00000000,360.00000000,30352.88352602,85.46373985,113,355.15510530
2013-10-19,346.00000000,428.99999000,346.00000000,756.25235000,29646.22937997,71.49596950,142,414.65595315
2013-10-20,429.65000000,416.01000000,415.98000000,429.65000000,4708.68000176,11.31831811,3,416.02294227
2013-10-21,407.53740000,429.65000000,390.00001000,429.65000000,23337.42567331,56.72938273,90,411.38162536
2013-10-22,434.99990000,420.00000000,420.00000000,444.00000000,29124.80265929,67.22797502,68,433.22445233
2013-10-23,435.50879000,495.21000000,423.00100000,496.99999000,32048.41050790,71.25575037,52,449.76595350
2013-10-24,483.49340000,468.00000000,365.00000000,492.00000000,23672.64183349,52.41793055,95,451.61343809
2013-10-25,446.49340000,464.00000000,380.00000000,468.00000000,31852.73193029,73.48646039,90,433.45034937
2013-10-26,435.00000000,450.00000000,425.00000000,464.00000000,6716.67855202,15.54751065,17,432.00990198
2013-10-27,450.00000000,440.00000000,420.00000000,454.98000000,7135.54833186,16.49813670,25,432.50631641
2013-10-28,444.99990000,468.88800000,436.51010000,469.22000000,63069.04092724,140.24276735,52,449.71332293
2013-10-29,469.00000000,459.50220000,442.00000000,488.98999000,11137.74141766,23.39529801,59,476.06751634
